Batman Begins;2005;tt0372784;8.20
Batman v Superman: Dawn of Justice;2016;tt2975590;6.40
Batman;1989;tt0096895;7.50
Batman Returns;1992;tt0103776;7.00
Batman Forever;1995;tt0112462;5.40
Batman & Robin;1997;tt0118688;3.80
The Lego Batman Movie;2017;tt4116284;7.30
Batman: The Animated Series;1992;tt0103359;9.00
Batman: Under the Red Hood;2010;tt1569923;8.10
Batman: The Dark Knight Returns, Part 1;2012;tt2313197;8.00
Harry Potter and the Deathly Hallows: Part 2;2011;tt1201607;8.10
Harry Potter and the Sorcerer's Stone;2001;tt0241527;7.60
Harry Potter and the Chamber of Secrets;2002;tt0295297;7.40
Harry Potter and the Prisoner of Azkaban;2004;tt0304141;7.90
Harry Potter and the Goblet of Fire;2005;tt0330373;7.70
Harry Potter and the Order of the Phoenix;2007;tt0373889;7.50
Harry Potter and the Deathly Hallows: Part 1;2010;tt0926084;7.70
Harry Potter and the Half-Blood Prince;2009;tt0417741;7.60
Harry Potter and the Forbidden Journey;2010;tt1756545;8.20
Harry Potter and the Chamber of Secrets;2002;tt0304140;7.40
The Avengers;2012;tt0848228;8.00
The Avengers;1998;tt0118661;3.80
The Avengers: Earth's Mightiest Heroes;2010;tt1626038;8.30
Ultimate Avengers: The Movie;2006;tt0491703;6.70
The Avengers;1961;tt0054518;8.30
The New Avengers;1976;tt0074031;7.20
Marvel Disk Wars: The Avengers;2014;tt3644256;4.70
Captain America and the Avengers;1991;tt0421939;7.30
The AXI: The Avengers of Extreme Illusions;2011;tt2256925;8.70
Avengers: Infinity War - The Mad Titan;2018;tt8850330;7.40
Star Wars: Episode IV - A New Hope;1977;tt0076759;8.60
Star Wars: Episode V - The Empire Strikes Back;1980;tt0080684;8.70
Star Wars: Episode VI - Return of the Jedi;1983;tt0086190;8.30
Star Wars: Episode VII - The Force Awakens;2015;tt2488496;7.80
Star Wars: Episode I - The Phantom Menace;1999;tt0120915;6.50
Star Wars: Episode III - Revenge of the Sith;2005;tt0121766;7.50
Star Wars: Episode II - Attack of the Clones;2002;tt0121765;6.50
Star Wars: Episode VIII - The Last Jedi;2017;tt2527336;7.00
Star Wars: Episode IX - The Rise of Skywalker;2019;tt2527338;6.60
Solo: A Star Wars Story;2018;tt3778644;6.90
Star Trek;2009;tt0796366;7.90
Star Trek Into Darkness;2013;tt1408101;7.70
Star Trek Beyond;2016;tt2660888;7.00
Star Trek: First Contact;1996;tt0117731;7.60
Star Trek II: The Wrath of Khan;1982;tt0084726;7.70
Star Trek: The Next Generation;1987;tt0092455;8.60
Star Trek: Discovery;2017;tt5171438;7.20
Star Trek: The Motion Picture;1979;tt0079945;6.40
Star Trek IV: The Voyage Home;1986;tt0092007;7.30
Star Trek: Generations;1994;tt0111280;6.60
Indiana Jones and the Raiders of the Lost Ark;1981;tt0082971;8.40
Indiana Jones and the Last Crusade;1989;tt0097576;8.20
Indiana Jones and the Temple of Doom;1984;tt0087469;7.50
Indiana Jones and the Kingdom of the Crystal Skull;2008;tt0367882;6.10
The Young Indiana Jones Chronicles;1992;tt0103586;7.30
Lego Indiana Jones: The Original Adventures;2008;tt1149318;7.80
Indiana Jones and the Fate of Atlantis;1992;tt0245165;9.20
Indiana Jones and the Temple of the Forbidden Eye Ride;1995;tt0764648;7.70
The Adventures of Young Indiana Jones: Treasure of the Peacock's Eye;1995;tt0115031;6.70
The Adventures of Young Indiana Jones: Travels with Father;1996;tt0154003;7.40
Iron Man;2008;tt0371746;7.90
Iron Man 3;2013;tt1300854;7.10
Iron Man 2;2010;tt1228705;7.00
The Man in the Iron Mask;1998;tt0120744;6.50
The Man with the Iron Fists;2012;tt1258972;5.40
Tetsuo: The Iron Man;1989;tt0096251;7.00
The Invincible Iron Man;2007;tt0903135;5.90
The Man with the Iron Fists 2;2015;tt3625152;4.40
Iron Man: Rise of Technovore;2013;tt2654124;5.30
Iron Man: Armored Adventures;2008;tt0837143;6.50
Ford v Ferrari;2019;tt1950186;8.10
The Assassination of Jesse James by the Coward Robert Ford;2007;tt0443680;7.50
Superman Returns;2006;tt0348150;6.00
Superman;1978;tt0078346;7.30
Superman II;1980;tt0081573;6.80
Superman III;1983;tt0086393;5.00
Superman IV: The Quest for Peace;1987;tt0094074;3.70
Superman/Batman: Apocalypse;2010;tt1673430;7.10
Lois & Clark: The New Adventures of Superman;1993;tt0106057;6.70
Superman/Batman: Public Enemies;2009;tt1398941;7.20
Superman: Doomsday;2007;tt0934706;7.00
Justice League;2017;tt0974015;6.10
Zack Snyder's Justice League;2021;tt12361974;8.10
Justice League: The Flashpoint Paradox;2013;tt2820466;8.10
Justice League;2001;tt0275137;8.50
Justice League: Doom;2012;tt2027128;7.50
Justice League: War;2014;tt3060952;7.30
Justice League: Crisis on Two Earths;2010;tt1494772;7.30
Justice League Dark;2017;tt2494376;7.10
Justice League: Throne of Atlantis;2015;tt3878542;6.70
Justice League vs. Teen Titans;2016;tt5091548;7.00
The Godfather;1972;tt0068646;9.20
The Godfather: Part II;1974;tt0071562;9.00
The Godfather: Part III;1990;tt0099674;7.60
Jurassic Park;1993;tt0107290;8.10
Jurassic World;2015;tt0369610;7.00
The Lost World: Jurassic Park;1997;tt0119567;6.60
Jurassic Park III;2001;tt0163025;5.90
Jurassic World: Fallen Kingdom;2018;tt4881806;6.20
Jurassic World: Camp Cretaceous;2020;tt10436228;7.50
